iter	Passed	Remaining
177	24506	113169
178	24577	112727
179	24649	112290
180	24710	111809
181	24777	111363
182	24846	110927
183	24923	110532
184	24994	110110
185	25071	109722
186	25147	109331
187	25216	108914
188	25320	108649
189	25396	108267
190	25463	107851
191	25532	107451
192	25615	107109
193	25683	106704
194	25752	106312
195	25824	105931
196	25910	105613
197	25987	105264
198	26065	104915
199	26125	104502
200	26194	104126
201	26267	103770
202	26329	103373
203	26409	103048
204	26479	102689
205	26558	102365
206	26622	101989
207	26688	101622
208	26747	101231
209	26821	100901
210	26899	100585
211	26979	100282
212	27049	99944
213	27119	99606
214	27173	99214
215	27239	98869
216	27300	98509
217	27379	98213
218	27443	97869
219	27527	97597
220	27599	97286
221	27674	96984
222	27737	96644
223	27813	96353
224	27901	96104
225	27971	95795
226	28038	95479
227	28116	95203
228	28199	94944
229	28369	94977
230	28454	94723
231	28554	94525
232	28644	94291
233	28723	94027
234	28812	93792
235	28910	93590
236	29004	93376
237	29102	93178
238	29181	92915
239	29266	92677
240	29359	92463
241	29455	92261
242	29548	92048
243	29644	91849
244	29723	91597
245	29812	91375
246	29911	91186
247	29988	90932
248	30090	90754
249	30159	90479
250	30233	90219
251	30310	89969
252	30378	89693
253	30449	89431
254	30517	89159
255	30595	88917
256	30659	88637
257	30727	88371
258	30804	88133
259	30870	87863
260	30962	87668
261	31031	87409
262	31107	87172
263	31173	86908
264	31250	86675
265	31322	86430
266	31393	86184
267	31463	85938
268	31536	85698
269	31616	85482
270	31682	85227
271	31744	84964
272	31816	84726
273	31882	84477
274	31972	84290
275	32045	84061
276	32123	83846
277	32188	83597
278	32256	83359
279	32326	83124
280	32390	82878
281	32463	82655
282	32533	82426
283	32607	82207
284	32681	81991
285	32746	81752
286	32810	81510
287	32880	81287
288	32969	81111
289	33040	80891
290	33124	80704
291	33190	80474
292	33259	80253
293	33328	80034
294	33395	79808
295	33464	79592
296	33543	79397
297	33623	79208
298	33691	78988
299	33758	78769
300	33827	78556
301	33894	78338
302	33983	78172
303	34055	77970
304	34136	77785
305	34200	77566
306	34270	77359
307	34345	77165
308	34414	76958
309	34484	76755
310	34554	76553
311	34631	76366
312	34698	76159
313	34763	75947
314	34829	75741
315	34900	75543
316	34980	75368
317	35050	75170
318	35118	74970
319	35186	74771
320	35261	74588
321	35336	74404
322	35407	74213
323	35482	74030
324	35558	73851
325	35632	73668
326	35704	73483
327	35770	73285
328	35841	73099
329	35918	72925
330	36007	72776
331	36082	72600
332	36159	72427
333	36224	72232
334	36291	72040
335	36363	71861
336	36428	71667
337	36494	71478
338	36572	71310
339	36643	71131
340	36714	70952
341	36781	70766
342	36846	70578
343	36926	70417
344	37002	70251
345	37076	70081
346	37148	69907
347	37220	69734
348	37287	69553
349	37349	69363
350	37422	69193
351	37494	69024
352	37563	68848
353	37633	68675
354	37716	68527
355	37779	68342
356	37846	68165
357	37917	67998
358	37995	67841
359	38065	67672
360	38136	67505
361	38215	67352
362	38365	67324
363	38449	67181
364	38515	67005
365	38576	66823
366	38639	66644
367	38692	66450
368	38753	66270
369	38804	66072
370	38864	65891
371	38930	65721
372	39002	65561
373	39059	65377
374	39114	65190
375	39178	65019
376	39239	64843
377	39314	64691
378	39389	64541
379	39447	64361
380	39508	64187
381	39570	64017
382	39638	63856
383	39694	63677
384	39749	63496
385	39803	63314
386	39858	63135
387	39915	62959
388	39975	62789
389	40035	62619
390	40093	62446
391	40149	62272
392	40226	62131
393	40307	61995
394	40377	61844
395	40455	61704
396	40535	61569
397	40614	61431
398	40701	61307
399	40768	61152
400	40822	60979
401	40874	60803
402	40930	60633
403	41026	60524
404	41096	60376
405	41194	60270
406	41277	60141
407	41360	60013
408	41452	59897
409	41553	59796
410	41651	59690
411	41749	59584
412	41982	59670
413	42124	59626
414	42259	59570
415	42337	59435
416	42521	59448
417	42622	59345
418	42725	59244
419	42803	59110
420	42880	58972
421	42962	58844
422	43050	58723
423	43124	58584
424	43215	58468
425	43295	58337
426	43389	58225
427	43463	58086
428	43538	57949
429	43611	57810
430	43694	57685
431	43781	57564
432	43850	57421
433	43924	57283
434	43988	57135
435	44071	57009
436	44147	56876
437	44228	56750
438	44425	56771
439	44549	56699
440	44779	56761
441	44934	56727
442	45119	56730
443	45340	56777
444	45487	56731
445	45711	56781
446	45908	56795
447	46025	56710
448	46267	56777
449	46551	56896
450	46736	56891
451	46957	56930
452	47138	56920
453	47321	56910
454	47526	56927
455	47728	56939
456	48088	57138
457	48251	57101
458	48455	57111
459	48601	57053
460	48741	56988
461	48920	56968
462	49106	56955
463	49242	56883
464	49394	56830
465	49524	56751
466	49633	56647
467	49849	56666
468	50032	56646
469	50211	56621
470	50356	56557
471	50482	56471
472	50604	56381
473	50705	56267
474	50811	56160
475	50905	56039
476	50990	55907
477	51092	55795
478	51227	55719
479	51330	55607
480	51427	55490
481	51530	55378
482	51634	55268
483	51747	55169
484	51864	55072
485	51967	54961
486	52105	54887
487	52251	54821
488	52358	54714
489	52447	54588
490	52549	54475
491	52654	54367
492	52767	54265
493	52885	54169
494	52970	54040
495	53074	53931
496	53207	53849
497	53325	53753
498	53426	53641
499	53530	53530
500	53629	53415
501	53727	53299
502	53845	53202
503	53944	53088
504	54045	52975
505	54141	52857
506	54262	52764
507	54380	52667
508	54478	52551
509	54554	52415
510	54663	52310
511	54773	52206
512	54883	52102
513	54981	51986
514	55082	51874
515	55218	51794
516	55321	51683
517	55433	51580
518	55531	51465
519	55630	51351
520	55745	51251
521	55867	51158
522	55956	51034
523	56069	50933
524	56176	50826
525	56279	50716
526	56392	50613
527	56488	50497
528	56583	50379
529	56692	50274
530	56796	50164
531	56907	50061
532	57015	49955
533	57117	49843
534	57303	49805
535	57425	49711
536	57536	49607
537	57645	49502
538	57832	49463
539	57978	49388
540	58071	49269
541	58187	49169
542	58293	49061
543	58411	48962
544	58511	48848
545	58629	48750
546	58966	48832
547	59224	48849
548	59443	48832
549	59727	48867
550	60096	48971
551	60449	49060
552	60936	49256
553	61143	49223
554	61359	49198
555	61614	49203
556	61947	49269
557	62119	49205
558	62364	49199
559	62567	49159
560	62735	49092
561	63062	49148
562	63580	49351
563	63980	49459
564	64153	49392
565	64494	49453
566	64678	49393
567	64895	49357
568	65142	49343
569	65468	49388
570	65857	49479
571	66126	49479
572	66356	49448
573	66558	49396
574	66762	49345
575	67020	49334
576	67272	49317
577	67555	49322
578	67758	49268
579	67972	49221
580	68249	49219
581	68548	49232
582	68719	49152
583	68918	49092
584	69106	49023
585	69361	49002
586	69551	48934
587	69700	48837
588	69866	48752
589	70050	48678
590	70188	48573
591	70325	48467
592	70510	48394
593	70672	48304
594	70814	48201
595	70982	48115
596	71136	48019
597	71297	47928
598	71456	47836
599	71654	47769
600	71810	47674
601	71954	47571
602	72236	47558
603	72459	47506
604	72661	47440
605	72854	47367
606	73078	47314
607	73267	47238
608	73531	47209
609	73769	47164
610	73958	47086
611	74204	47044
612	74389	46963
613	74628	46916
614	74792	46821
615	74999	46752
616	75203	46682
617	75382	46595
618	75604	46535
619	75790	46452
620	75962	46360
621	76187	46300
622	76348	46201
623	76506	46100
624	76697	46018
625	76854	45916
626	77025	45821
627	77179	45717
628	77310	45599
629	77493	45511
630	77664	45416
631	77800	45301
632	77951	45194
633	78115	45095
634	78264	44986
635	78407	44874
636	78588	44784
637	78744	44679
638	78945	44599
639	79180	44539
640	79416	44478
641	79634	44406
642	79781	44295
643	79902	44169
644	80056	44062
645	80220	43960
646	80342	43834
647	80524	43741
648	80693	43641
649	80828	43523
650	80960	43403
651	81114	43294
652	81283	43193
653	81433	43082
654	81621	42991
655	81785	42887
656	81923	42769
657	82071	42657
658	82240	42555
659	82387	42442
660	82575	42349
661	82746	42248
662	82880	42127
663	83030	42015
664	83178	41901
665	83316	41783
666	83453	41664
667	83636	41567
668	83785	41454
669	83953	41350
670	84212	41290
671	84677	41330
672	84884	41243
673	85081	41152
674	85306	41073
675	85627	41040
676	85843	40956
677	86026	40856
678	86209	40756
679	86418	40667
680	86644	40586
681	86850	40496
682	87033	40394
683	87242	40305
684	87461	40219
685	87695	40140
686	87925	40059
687	88117	39960
688	88312	39862
689	88435	39731
690	88629	39633
691	88774	39512
692	88921	39392
693	89073	39274
694	89221	39154
695	89389	39043
696	89759	39020
697	90049	38961
698	90397	38926
699	90590	38824
700	90827	38740
701	90981	38621
702	91215	38536
703	91402	38430
704	91515	38293
705	91674	38176
706	91842	38061
707	91977	37934
708	92124	37811
709	92292	37696
710	92458	37581
711	92600	37456
712	92793	37351
713	92928	37223
714	93086	37104
715	93234	36981
716	93380	36857
717	93501	36723
718	93655	36602
719	93823	36487
720	93989	36370
721	94112	36237
722	94255	36111
723	94413	35991
724	94535	35858
725	94668	35729
726	94833	35611
727	94986	35489
728	95122	35360
729	95254	35231
730	95403	35107
731	95544	34980
732	95696	34858
733	95876	34745
734	96025	34621
735	96176	34498
736	96325	34373
737	96654	34313
738	96921	34230
739	97123	34124
740	97309	34012
741	97530	33912
742	97728	33803
743	97933	33697
744	98113	33582
745	98290	33466
746	98532	33371
747	98715	33257
748	98943	33157
749	99131	33043
750	99330	32933
751	99535	32825
752	99724	32711
753	99971	32616
754	100157	32501
755	100291	32369
756	100429	32238
757	100581	32111
758	100701	31975
759	100866	31852
760	101017	31725
761	101156	31594
762	101308	31468
763	101474	31345
764	101630	31219
765	101817	31103
766	101978	30979
767	102130	30851
768	102283	30724
769	102434	30597
770	102583	30468
771	102720	30337
772	103021	30253
773	103396	30190
774	103612	30080
775	103763	29952
776	104000	29848
777	104169	29724
778	104365	29608
779	104585	29498
780	104825	29394
781	105046	29284
782	105242	29166
783	105428	29046
784	105617	28927
785	105862	28822
786	106073	28708
787	106309	28601
788	106663	28524
789	107296	28521
790	107634	28439
791	107862	28327
792	108008	28193
793	108315	28101
794	108516	27982
795	108686	27854
796	108933	27745
797	109159	27631
798	109338	27505
799	109557	27389
800	109764	27269
801	109966	27148
802	110200	27035
803	110379	26908
804	110564	26782
805	110719	26649
806	110956	26536
807	111172	26417
808	111324	26283
809	111513	26157
810	111664	26022
811	111849	25896
812	112016	25765
813	112183	25634
814	112328	25497
815	112474	25361
816	112640	25230
817	112783	25093
818	112980	24968
819	113152	24838
820	113339	24711
821	113486	24574
822	113656	24443
823	113791	24304
824	113963	24174
825	114123	24040
826	114257	23901
827	114393	23762
828	114554	23629
829	114724	23497
830	115004	23388
831	115175	23256
832	115321	23119
833	115457	22980
834	115624	22847
835	115746	22706
836	115880	22566
837	116049	22434
838	116201	22298
839	116337	22159
840	116483	22022
841	116624	21884
842	116759	21745
843	116911	21609
844	117089	21477
845	117191	21332
846	117289	21186
847	117388	21041
848	117474	20893
849	117571	20747
850	117645	20598
851	117729	20450
852	117827	20305
853	117922	20160
854	118032	20017
855	118135	19873
856	118227	19727
857	118336	19584
858	118415	19437
859	118512	19292
860	118617	19149
861	118734	19008
862	118827	18863
863	118910	18717
864	119028	18576
865	119129	18433
866	119226	18289
867	119310	18144
868	119412	18001
869	119567	17866
870	119760	17737
871	119866	17595
872	120022	17460
873	120152	17321
874	120270	17181
875	120393	17042
876	120521	16903
877	120669	16767
878	120788	16627
879	120899	16486
880	121038	16349
881	121161	16209
882	121278	16069
883	121396	15929
884	121527	15791
885	121673	15655
886	121794	15516
887	121901	15374
888	122033	15237
889	122131	15094
890	122236	14953
891	122333	14811
892	122432	14669
893	122550	14530
894	122688	14393
895	122788	14252
896	122894	14111
897	123004	13971
898	123111	13831
899	123230	13692
900	123336	13551
901	123430	13410
902	123530	13269
903	123650	13131
904	123763	12991
905	123882	12853
906	123995	12714
907	124132	12577
908	124250	12438
909	124335	12296
910	124424	12155
911	124537	12016
912	124676	11880
913	124773	11740
914	124906	11603
915	125030	11465
916	125140	11326
917	125247	11187
918	125329	11046
919	125432	10907
920	125521	10766
921	125626	10627
922	125735	10489
923	125819	10348
924	125915	10209
925	126004	10069
926	126139	9933
927	126287	9798
928	126392	9659
929	126500	9521
930	126625	9384
931	126762	9248
932	126855	9109
933	126955	8971
934	127054	8832
935	127160	8694
936	127278	8557
937	127359	8418
938	127448	8279
939	127531	8140
940	127616	8001
941	127715	7863
942	127817	7726
943	127904	7587
944	127986	7448
945	128066	7310
946	128168	7173
947	128284	7036
948	128373	6898
949	128467	6761
950	128554	6623
951	128652	6486
952	128726	6348
953	128828	6211
954	128922	6074
955	129008	5937
956	129097	5800
957	129210	5664
958	129314	5528
959	129393	5391
960	129490	5255
961	129578	5118
962	129678	4982
963	129774	4846
964	129861	4710
965	129947	4573
966	130043	4437
967	130148	4302
968	130354	4170
969	130470	4035
970	130584	3900
971	130703	3765
972	130838	3630
973	130939	3495
974	131050	3360
975	131163	3225
976	131281	3090
977	131399	2955
978	131511	2820
979	131631	2686
980	131759	2551
981	131880	2417
982	132000	2282
983	132122	2148
984	132263	2014
985	132379	1879
986	132480	1744
987	132589	1610
988	132682	1475
989	132770	1341
990	132889	1206
991	132988	1072
992	133087	938
993	133191	803
994	133287	669
995	133393	535
996	133487	401
997	133570	267
998	133643	133
999	133737	0
